Gene,nbPctgShift
Prdm12,-1.5378614886787503
Prdm13,0.7016630549418382
Prdm14,-2.056933005241434
Prdm15,-9.48101165116458
Prdm2,-1.0460994876528966
Prdm4,6.9814848247300905
Prdm5,3.3625792259486325
Prdm6,9.57677516373034
Prdm8,0.20307018728844461
Prdm9,-2.7519464775989864
Prkaa1,-7.112747836482474
Prkaa2,2.6209946777316553
Prkcd,9.634613137397322
Prmt1,-0.7673481666834334
Prmt2,-1.0514732000264075
Prmt3,5.051104129098164
Prmt5,-7.984053373437557
Prmt6,-7.311648447110029
Prmt7,-4.9667962722952
Prmt8,10.723961384677787
Psip1,7.027486947576439
Rbbp4,3.2041824014426865
Rbbp5,4.200410086856579
Rbbp7,2.9248658814922712
Ring1,10.989424179071726
Rnf20,-9.522360211495421
Rnf217,-0.4735161726574013
Rnf40,7.485775923724663
Arid1a,1.086923811216904
Arid1b,16.4941248973842
Brd7,-2.1917708752467226
Brdt,-8.86053904694884
Cbx2,0.8512306906401577
Cecr2,0.9731984657057993
Chd7,14.372349796362068
Clock,0.40812427004788293
Dpy30,-1.0414476352010844
Eaf1,6.5985090621109785
Fbxo17,7.374516179006803
Fkbp2,-10.378106389532112
Fkbp5,-10.596257180151058
Gtf2h1,-10.813234957453533
H2afz,14.647868069622776
Hdac11,-5.901677730941553
Hdac5,-4.14235264517643
Iws1,-19.920349665716596
Jmjd8,0.6463662697435334
Kdm4b,4.269872511089569
Mecp2,-10.6155211702221
Padi2,-0.9743278819092538
Paf1,-6.417852356804292
Parp2,0.6825317785318438
Phc2,6.776821065103798
Phc3,-6.559748058178613
Phf10,-2.9416665296864815
Phf17,-11.352184418858801
Prdm16,20.982927328240393
Rnf2,7.785704892066268
Rpa3,15.292306190722153
Satb1,2.2864834832281793
Scmh1,-2.242753264684955
Scml2,5.777352354275422
Scml4,9.088587578106027
Setd1a,-1.3094880161140097
Setd2,2.8493342818485914
Setd3,4.230281948995644
Setd4,1.5853116691186084
Setd5,-0.2971977885743371
Setd7,-1.2404384523044385
Setd8,3.2210177508131075
Setdb1,1.6050081504363582
Setdb2,7.124376641560875
Setmar,1.1221630043190238
Sfmbt1,0.9747150208320701
Sfmbt2,-11.03753672851086
Sin3a,6.803309029747253
Sin3b,0.8165815336403419
Sirt1,-1.3548055304464892
Sirt3,-11.827462364314773
Sirt4,-6.873506588065087
Sirt5,5.394969945704118
Sirt6,3.923896684091594
Sirt7,5.897763175651619
Smarca1,6.368215019045298
Smarca2,4.350113325536976
Smarca4,6.505998884930095
Smarca5,4.664482049979313
Smarcc1,10.606591710205606
Smarcc2,-6.525765909792032
Smarcd1,-5.533182665519632
Smarcd2,21.22351834643033
Smarcd3,-6.220855305214563
Smarce1,14.296308809783872
Smyd1,1.117279939273755
Smyd2,-0.22475969936573037
Smyd3,-7.818657301871612
Smyd4,13.180138587152214
Smyd5,7.236309427242132
Sp100,0.12851956570553824
Sp110,-2.254719700219539
Sp140,7.685016612489285
Ssrp1,-5.6044102188213785
Supt16h,8.343563731570047
Suv39h1,-6.648717291500459
Suv39h2,2.0212585585247016
Suv420h1,1.3210613600769658
Suv420h2,1.2214509323811442
Suz12,2.774584545476772
Taf1,5.349410119029214
Taf3,-11.851099799063332
Tcea1,5.075825111119124
Tdg,-3.7945379903280276
Tet1,-9.172731978535657
Tet2,9.879363241433603
Tet3,-5.7737131569322715
Trim24,-1.8174684177382172
Trim28,6.593178818317575
Trim33,1.4532393664432917
Trim66,-4.287790932829632
Ube2a,2.3352861650331604
Ube2b,-4.313123721962062
Ube2e1,-8.465191207045615
Ube2i,-5.586115889545459
Uhrf1,-9.933618359968865
Usp22,1.9862218270375482
Usp27x,-4.453575674119859
Usp51,-1.1626818844440905
Wbp7,-2.265454831169464
Wdr5,-4.923046969662819
Wdr82,-0.9240885037810234
Whsc1,0.9682863490903753
Whsc1l1,2.6110308512433775
Zmynd11,-4.85860164797722
Zmynd8,11.445546016019975
Bcl6,6.751128610075379
Cd14,-8.480784074977608
Cd4,-0.07262351528984379
Fosb,30.842733037191568
Hes1,8.014467111638375
Hes6,-14.965978490437633
Id2,9.87331324057248
Id3,1.5503052734411031
Klf12,7.178134091061973
Klf2,5.721741592898585
Ms4a1,0.788235415431115
Nfatc3,-4.804692333060754
Runx3,-14.223497501788918
Sgk1,7.834633646697441
Tbx21,13.795698794203716
